edition	item_index	kr	en	suggested_jp	basis
GC	148	볶은 양고기	Stir-fried Lamb	炒めたラム肉	composed
GC	149	양고기 필라프	Lamb Pilaf	ラムピラフ	localized
GC	150	양고기 커리	Lamb Curry	ラムカレー	localized
GC	151	닭고기 커리	Chicken Curry	チキンカレー	localized
GC	152	커리+익은 쌀	Curry+Cooked Rice	カレー＋炊いた米	composed
GC	153	커리 필라프	Curry Pilaf	カレーピラフ	composed
GC	154	익은 쌀	Cooked Rice	炊いた米	state_term
GC	155	육수+익은 쌀	Broth+Cooked Rice	出汁＋炊いた米	composed
GC	159	미트 소스+파스타	Meat Sauce+Pasta	ミートソース＋パスタ	composed
GC	167	새우+육수+익은 쌀	Shrimp+Broth+Cooked Rice	エビ＋出汁＋炊いた米	composed
GC	168	새우 리소토	Shrimp Risotto	エビリゾット	composed
GC	169	토마토+익은 쌀	Tomato+Cooked Rice	トマト＋炊いた米	composed
GC	170	토마토 리소토	Tomato Risotto	トマトリゾット	composed
GC	171	크림+익은 쌀	Cream+Cooked Rice	クリーム＋炊いた米	composed
GC	172	크림 리소토	Cream Risotto	クリームリゾット	composed
GC	173	로제+익은 쌀	Creamy Tomato+Cooked Rice	トマトクリーム＋炊いた米	composed
GC	174	로제 리소토	Creamy Tomato Risotto	トマトクリームリゾット	composed
GC	175	새우+토마토+익은 쌀	Shrimp+Tomato+Cooked Rice	エビ＋トマト＋炊いた米	composed
GC	176	새우 토마토 리소토	Shrimp Tomato Risotto	エビトマトリゾット	composed
GC	177	새우+크림+익은 쌀	Shrimp+Cream+Cooked Rice	エビ＋クリーム＋炊いた米	composed
GC	178	새우 크림 리소토	Shrimp Cream Risotto	エビクリームリゾット	composed
GC	179	새우+로제+익은 쌀	Shrimp+Creamy Tomato+Cooked Rice	エビ＋トマトクリーム＋炊いた米	composed
GC	180	새우 로제 리소토	Shrimp Creamy Tomato Risotto	エビトマトクリームリゾット	composed
GC	181	새우+파스타	Shrimp+Pasta	エビ＋パスタ	composed
GC	182	새우 파스타	Shrimp Pasta	エビパスタ	composed
GC	183	토마토+파스타	Tomato+Pasta	トマト＋パスタ	composed
GC	185	크림+파스타	Cream+Pasta	クリーム＋パスタ	composed
GC	187	로제+파스타	Creamy Tomato+Pasta	トマトクリーム＋パスタ	composed
GC	189	새우+토마토+파스타	Shrimp+Tomato+Pasta	エビ＋トマト＋パスタ	composed
GC	190	새우 토마토 파스타	Shrimp Tomato Pasta	エビトマトパスタ	composed
GC	191	새우+크림+파스타	Shrimp+Cream+Pasta	エビ＋クリーム＋パスタ	composed
GC	192	새우 크림 파스타	Shrimp Cream Pasta	エビクリームパスタ	composed
GC	193	새우+로제+파스타	Shrimp+Creamy Tomato+Pasta	エビ＋トマトクリーム＋パスタ	composed
GC	194	새우 로제 파스타	Shrimp Creamy Tomato Pasta	エビトマトクリームパスタ	composed
GC	198	돈장	Donjang Sauce	テンジャンソース	localized
GC	199	곱창 구이	Grilled Pork Intestines	ポークホルモン焼き	descriptive
GC	200	생 소시지	Raw Sausage	生ソーセージ	composed
GC	201	훈제 소시지	Smoked Sausage	燻製ソーセージ	composed
GC	202	구운 소시지	Grilled Sausage	焼いたソーセージ	composed
GC	203	삶은 소시지	Boiled Sausage	ゆでソーセージ	composed
GC	205	빵조각	Bread Pieces	パン切れ	descriptive
GC	213	삶은 감자	Boiled Potato	ゆでジャガイモ	composed
GC	215	해시 브라운	Hash Browns	ハッシュドポテト	localized
GC	216	감자 반죽	Potato Dough	ジャガイモ生地	composed
GC	217	감자전	Potato Pancake	ジャガイモチヂミ	descriptive
GC	218	양배추 절임	Pickled Cabbage	キャベツの漬物	composed
GC	220	치즈 핫도그	Cheese Hot Dog	チーズホットドッグ	composed
GC	223	치즈 감자전	Cheese Potato Pancake	チーズジャガイモチヂミ	descriptive
GC	224	족발+감자	Pork Trotters+Potato	チョッパル＋ジャガイモ	composed
GC	225	족발+양배추 절임	Pork Trotters+Pickled Cabbage	チョッパル＋キャベツの漬物	composed
GC	226	족발 정식	Pork Trotters Set	チョッパル定食	localized
GC	227	소시지+감자	Sausage+Potato	ソーセージ＋ジャガイモ	composed
GC	228	소시지+양배추 절임	Sausage+Pickled Cabbage	ソーセージ＋キャベツの漬物	composed
GC	229	소시지 정식	Sausage Platter	ソーセージ盛り合わせ	descriptive
GC	230	감자 샐러드	Potato Salad	ポテトサラダ	localized
GC	231	생 커틀릿	Raw Cutlet	生カツレツ	state_term
GC	232	커틀릿	Cutlet	カツレツ	localized
GC	233	생 미트볼	Raw Meatball	生ミートボール	state_term
GC	236	토마토 스튜 베이스	Tomato Stew Base	トマトシチューベース	composed
GC	237	크림 스튜 베이스	Cream Stew Base	クリームシチューベース	composed
GC	238	와인 스튜 베이스	Wine Stew Base	ワインシチューベース	composed
GC	239	토마토+소고기	Tomato+Beef	トマト＋牛肉	composed
GC	240	토마토 비프 스튜	Tomato Beef Stew	トマトビーフシチュー	composed
GC	241	크림+소고기	Cream+Beef	クリーム＋牛肉	composed
GC	242	크림 비프 스튜	Cream Beef Stew	クリームビーフシチュー	composed
GC	243	와인+소고기	Wine+Beef	ワイン＋牛肉	composed
GC	244	비프 스튜	Beef Stew	ビーフシチュー	localized
GC	245	토마토+닭고기	Tomato+Chicken	トマト＋鶏肉	composed
GC	246	토마토 치킨 스튜	Tomato Chicken Stew	トマトチキンシチュー	composed
GC	247	크림+닭고기	Cream+Chicken	クリーム＋鶏肉	composed
GC	248	크림 치킨 스튜	Cream Chicken Stew	クリームチキンシチュー	composed
GC	249	와인+닭고기	Wine+Chicken	ワイン＋鶏肉	composed
GC	250	치킨 스튜	Chicken Stew	チキンシチュー	localized
GC	251	미트 소스	Meat Sauce	ミートソース	composed
GC	253	뱅쇼	Mulled Wine	ホットワイン	localized
GC	254	파이 생지	Pie Dough	パイ生地	composed
GC	255	타르트 생지	Tart Dough	タルト生地	composed
GC	256	소고기+파이	Beef+Pie Dough	牛肉＋パイ生地	composed
GC	257	파이+소고기+파이	PD+Beef+PD	パイ生地＋牛肉＋パイ生地	composed
GC	258	생 미트 파이	Raw Meat Pie	ミートパイ（焼く前）	state_term
GC	259	미트 파이	Meat Pie	ミートパイ	composed
GC	262	썬 사과	Sliced Apple	薄切りリンゴ	composed
GC	263	사과+설탕	Apple+Sugar	リンゴ＋砂糖	composed
GC	264	사과조림	Stewed Apples	リンゴの甘煮	descriptive
GC	266	스테이크+생지	Steak+Pastry Dough	ステーキ＋パイ生地	composed
GC	267	생 비프 웰링턴	Raw Beef Wellington	ビーフウェリントン（焼く前）	state_term
GC	268	비프 웰링턴	Beef Wellington	ビーフウェリントン	localized
GC	269	소고기+달걀	Beef+Egg	牛肉＋卵	composed
GC	270	튀김옷	Batter	衣	localized
GC	271	생 스카치 에그	Raw Scotch Egg	生スコッチエッグ	state_term
GC	272	스카치 에그	Scotch Egg	スコッチエッグ	localized
GC	273	사과+파이	Apple+Pie Dough	リンゴ＋パイ生地	composed
GC	274	파이+사과+파이	PD+Apple+PD	パイ生地＋リンゴ＋パイ生地	composed
GC	275	생 사과 파이	Raw Apple Pie	アップルパイ（焼く前）	state_term
GC	276	사과 파이	Apple Pie	アップルパイ	localized
GC	277	생 사과 타르트	Raw Apple Tart	アップルタルト（焼く前）	state_term
GC	278	사과 타르트	Apple Tart	アップルタルト	localized
GC	279	생 사과잼 타르트	Raw Apple Jam Tart	リンゴジャムタルト（焼く前）	state_term
GC	280	사과잼 타르트	Apple Jam Tart	リンゴジャムタルト	composed
GC	282	김+밥	Seaweed+Rice	海苔＋ご飯	composed
GC	283	김+밥+불고기	Seaweed+Rice+Bulgogi	海苔＋ご飯＋プルコギ	composed
GC	284	불고기 김밥	Bulgogi Kimbap	プルコギキンパ	localized
GC	285	김+밥+제육	Seaweed+Rice+Spicy Pork	海苔＋ご飯＋ジェユク	composed
GC	286	제육 김밥	Spicy Pork Kimbap	ジェユクキンパ	localized
GC	287	육회	Seasoned Raw Beef	ユッケ	localized
GC	289	갈비 양념장	Galbi Marinade	カルビだれ	localized
GC	290	소고기+갈비	Beef+Galbi Marinade	牛肉＋カルビだれ	composed
GC	291	소갈비	Beef Short Ribs	牛カルビ	localized
GC	292	돼지고기+갈비	Pork+Galbi Marinade	ポーク＋カルビだれ	composed
GC	293	돼지갈비	Pork Ribs	ポークカルビ	localized
GC	294	참치 군함말이초밥	Tuna Gunkan Sushi	マグロ軍艦巻き	localized
GC	295	생새우초밥	Raw Shrimp Sushi	生エビ寿司	localized
GC	299	똠얌꿍	Tom Yum Goong	トムヤムクン	localized
GC	300	똠얌꿍 쌀국수	Tom Yum Goong Noodle Soup	トムヤムクンフォー	localized
GC	301	소고기 쌀국수	Beef Rice Noodle Soup	牛肉フォー	localized
GC	302	닭고기 쌀국수	Chicken Rice Noodle Soup	鶏肉フォー	localized
GC	303	토마토 스튜	Tomato Stew	トマトシチュー	composed
GC	304	크림 스튜	Cream Stew	クリームシチュー	composed
GC	305	볶은 야채	Stir-fried Vegetables	炒めた野菜	composed
GC	308	흰자+설탕	Egg White+Sugar	卵白＋砂糖	composed
GC	310	머랭 쿠키	Meringue Cookie	メレンゲクッキー	composed
GC	311	수플레 반죽	Soufflé Batter	スフレ生地	composed
GC	312	수플레 팬케이크	Soufflé Pancake	スフレパンケーキ	localized
GC	324	빵+치킨+치즈	B+Chicken+C	バンズ＋チキン＋チーズ	composed
GC	328	치즈치킨 버거	Chicken Cheeseburger	チキンチーズバーガー	localized
GC	329	생 치즈스틱	Raw Cheese Stick	生チーズスティック	composed
GC	331	미트 소스 파스타	Meat Sauce Pasta	ミートソースパスタ	composed
GC	332	야채 샌드위치	Vegetable Sandwich	野菜サンドイッチ	composed
GC	333	새우 샌드위치	Shrimp Sandwich	エビサンドイッチ	composed
GC	334	고기 샌드위치	Meat Sandwich	ミートサンドイッチ	composed
GC	335	새우 필라프	Shrimp Pilaf	エビピラフ	composed
GC	336	소고기 필라프	Beef Pilaf	ビーフピラフ	localized
GC	338	빈달루 커리	Vindaloo Curry	ヴィンダルーカレー	localized
GC	339	새우 커리	Shrimp Curry	エビカレー	composed
GC	341	조개+파스타	Clams+Pasta	アサリ＋パスタ	composed
GC	343	조개+육수+익은 쌀	Clams+Broth+Cooked Rice	アサリ＋出汁＋炊いた米	composed
GC	344	봉골레 리소토	Vongole Risotto	ボンゴレリゾット	localized
GC	345	와인+익은 쌀	Wine+Cooked Rice	ワイン＋炊いた米	composed
GC	346	와인 리소토	Wine Risotto	ワインリゾット	composed
GC	349	초코 퐁뒤	Chocolate Fondue	チョコフォンデュ	composed
GC	350	커리+토마토	Curry+Tomato	カレー＋トマト	composed
GC	351	커리 소시지	Curried Sausage	カレーソーセージ	descriptive
GC	355	생 순대	Raw Blood Sausage	生スンデ	state_term
GC	356	순대	Blood Sausage	スンデ	localized
GC	358	썬 오크라	Sliced Okra	薄切りオクラ	composed
GC	359	토마토+오크라	Tomato+Okra	トマト＋オクラ	composed
GC	360	토마토 오크라 스튜	Tomato Okra Stew	トマトオクラシチュー	composed
GC	361	토마토+오크라+소고기	Tomato+Okra+Beef	トマト＋オクラ＋牛肉	composed
GC	362	토마토 오크라 비프 스튜	Tomato Okra Beef Stew	トマトオクラビーフシチュー	composed
GC	363	토마토+양고기	Tomato+Lamb	トマト＋ラム肉	composed
GC	364	토마토 양고기 스튜	Tomato Lamb Stew	ラムのトマトシチュー	localized
GC	365	와인+양고기	Wine+Lamb	ワイン＋ラム肉	composed
GC	366	양고기 스튜	Lamb Stew	ラムシチュー	localized
GC	368	손질한 정어리	Sliced Sardine	捌いたイワシ	state_term
GC	369	정어리+파이	Sardine+Pie Dough	イワシ＋パイ生地	composed
GC	370	파이+정어리+파이	PD+Sardine+PD	パイ生地＋イワシ＋パイ生地	composed
GC	371	생 정어리 파이	Raw Sardine Pie	イワシパイ（焼く前）	state_term
GC	372	정어리 파이	Sardine Pie	イワシパイ	composed
GC	373	호두 필링	Walnut Filling	クルミフィリング	composed
GC	374	생 호두 파이	Raw Walnut Pie	クルミパイ（焼く前）	state_term
GC	375	호두 파이	Walnut Pie	クルミパイ	composed
GC	376	생 호두 타르트	Raw Walnut Tart	クルミタルト（焼く前）	state_term
GC	377	호두 타르트	Walnut Tart	クルミタルト	composed
GC	378	파이 앤 매시	Pie and Mash	パイ・アンド・マッシュ	localized
GC	379	빵+불고기	B+Bulgogi	バンズ＋プルコギ	composed
GC	380	불고기 버거	Bulgogi Burger	プルコギバーガー	composed
GC	383	생 새우 패티	Raw Shrimp Patty	生エビパティ	state_term
GC	384	새우 패티	Shrimp Patty	エビパティ	descriptive
GC	385	빵+새우	B+Shrimp	バンズ＋エビ	composed
GC	386	새우 버거	Shrimp Burger	エビバーガー	composed
GC	387	녹인 설탕	Melted Sugar	溶かした砂糖	state_term
GC	388	통 사과 탕후루	Whole Apple Tanghulu	丸ごとリンゴ飴	localized
GC	391	구운 빵	Toasted Bread	トーストパン	composed
GC	392	빵조각+설탕	Bread Pieces+Sugar	パン切れ＋砂糖	composed
GC	393	식빵 러스크	Bread Rusk	パンラスク	localized
GC	394	설탕 토스트	Sugar Toast	シュガートースト	localized
GC	395	사과 탕후루	Apple Tanghulu	リンゴ飴	localized
GC	396	계란+빵	Egg+Bread	卵＋パン	composed
GC	398	프렌치 토스트	French Toast	フレンチトースト	localized
GC	399	사과잼 토스트	Apple Jam Toast	リンゴジャムトースト	composed
GC	400	초코애플	Choco-Dipped Apple	チョコリンゴ	descriptive
GC	401	초코 토스트	Chocolate Toast	チョコトースト	composed
GC	404	딸기+설탕	Strawberry+Sugar	イチゴ＋砂糖	composed
GC	407	초코베리	Choco-Dipped Berry	チョコイチゴ	descriptive
GC	408	딸기잼 토스트	Strawberry Jam Toast	イチゴジャムトースト	composed
GC	415	바나나 초코 토스트	Banana Choco Toast	バナナチョコトースト	composed
GC	417	볶은 두반장	Stir-fried Doubanjiang	炒めた豆板醤	composed
GC	418	양꼬치	Lamb Skewers	ラム串焼き	localized
GC	419	매운 야채 육수	Spicy Vegetable Broth	辛口野菜だし	descriptive
GC	420	양고기 훠궈(백탕)	Mild Lamb Hotpot	ラムの白湯火鍋	descriptive
GC	421	양고기 훠궈(홍탕)	Spicy Lamb Hotpot	ラムの麻辣火鍋	descriptive
GC	422	돼지 훠궈(백탕)	Mild Pork Hotpot	ポークの白湯火鍋	descriptive
GC	423	돼지 훠궈(홍탕)	Spicy Pork Hotpot	ポークの麻辣火鍋	descriptive
GC	424	돼지 간장 조림	Soy-braised Pork	ポークの醤油煮	descriptive
GC	425	돼지 간장 구이	Soy-grilled Pork	ポークの醤油焼き	descriptive
GC	426	두반장 양념장	Doubanjiang Marinade	豆板醤だれ	descriptive
GC	427	야채+두반장	Vegetables+Doubanjiang	野菜＋豆板醤	composed
GC	428	두반장 야채볶음	Doubanjiang Stir-fried Vegetables	野菜の豆板醤炒め	descriptive
GC	429	양고기+두반장	Lamb+Doubanjiang	ラム肉＋豆板醤	composed
GC	430	두반장 양고기볶음	Doubanjiang Stir-fried Lamb	ラムの豆板醤炒め	descriptive
GC	431	돼지고기+두반장	Pork+Doubanjiang	ポーク＋豆板醤	composed
GC	432	두반장 돼지볶음	Doubanjiang Stir-fried Pork	ポークの豆板醤炒め	descriptive
GC	433	소고기 훠궈(백탕)	Mild Beef Hotpot	牛肉の白湯火鍋	descriptive
GC	434	소고기 훠궈(홍탕)	Spicy Beef Hotpot	牛肉の麻辣火鍋	descriptive
GC	435	두반장+소고기	Beef+Doubanjiang	牛肉＋豆板醤	composed
GC	436	두반장 소고기볶음	Doubanjiang Stir-fried Beef	牛肉の豆板醤炒め	descriptive
GC	437	두반장+새우	Shrimp+Doubanjiang	エビ＋豆板醤	composed
GC	438	두반장 새우볶음	Doubanjiang Stir-fried Shrimp	エビの豆板醤炒め	descriptive
GC	440	토르티야 조각	Tortilla Pieces	トルティーヤ片	descriptive
GC	442	타코 베이스	Taco Base	タコスベース	descriptive
GC	443	소고기 타코	Beef Taco	牛肉タコス	composed
GC	444	돼지고기 타코	Pork Taco	ポークタコス	composed
GC	445	양고기 타코	Lamb Taco	ラムタコス	localized
GC	446	양고기 수육	Boiled Lamb	ゆでラム肉	state_term
GC	447	썬 양고기 수육	Sliced Boiled Lamb	薄切りしたゆでラム肉	state_term
GC	448	소고기 수육 타코	Boiled Beef Taco	ゆで牛肉タコス	composed
GC	449	돼지 수육 타코	Boiled Pork Taco	ゆでポークタコス	composed
GC	450	양고기 수육 타코	Boiled Lamb Taco	ゆでラム肉タコス	composed
GC	451	소고기 타코+치즈	Beef Taco+Cheese	牛肉タコス＋チーズ	composed
GC	452	소고기 퀘사디아	Beef Quesadilla	牛肉ケサディーヤ	composed
GC	453	돼지고기 타코+치즈	Pork Taco+Cheese	ポークタコス＋チーズ	composed
GC	454	돼지고기 퀘사디아	Pork Quesadilla	ポークケサディーヤ	composed
GC	455	양고기 타코+치즈	Lamb Taco+Cheese	ラムタコス＋チーズ	composed
GC	456	양고기 퀘사디아	Lamb Quesadilla	ラムケサディーヤ	localized
GC	457	치즈 나초	Cheese Nachos	チーズナチョス	composed
GC	458	감바스 타코	Gambas Taco	ガンバスタコス	localized
GC	459	치킨 타코	Chicken Taco	チキンタコス	localized
GC	460	치킨 타코+치즈	Chicken Taco+Cheese	チキンタコス＋チーズ	composed
GC	461	치킨 퀘사디아	Chicken Quesadilla	チキンケサディーヤ	localized
