edition	item_index	kr	en	jp
ORG	408	쌀국수	Rice Noodle Soup	ライスヌードルスープ
ORG	409	치킨 타코(밀)	Chicken Taco(Flour)	チキンタコス(小麦)
ORG	410	양고기 타코(밀)	Lamb Taco(Flour)	ラムタコス(小麦)
ORG	411	봉골레 파스타	Vongole Pasta	ヴォンゴレパスタ
ORG	412	크림 치킨	Creamy Chicken	クリームチキン
ORG	413	딸기탕후루	Strawberry Tanghulu	イチゴ飴がけ串
ORG	414	파+두+당+새	G+T+N+S	ネギ＋豆腐＋春雨＋エビ
ORG	415	생 새우만두	Raw Shrimp Dumpling	生エビ餃子
ORG	416	찐 새우만두	Steamed Shrimp Dumpling	蒸しエビ餃子
ORG	417	구운 새우만두	Stir-Fried Shrimp Dumpling	焼きエビ餃子
ORG	418	보쌈	Boiled Pork Wrap	ポッサム
ORG	419	와인	Wine	ワイン
ORG	420	녹인 치즈 팩	Melted Cheese Pack	とろけたチーズパック
ORG	421	후라이드 치킨 팩	Fried Chicken Pack	フライドチキンパック
ORG	422	피자 베이스 팩	Pizza Base Pack	ピザベースパック
ORG	423	만두 팩	Dumpling Pack	餃子パック
ORG	424	패티 팩	Patty Pack	パティパック
ORG	425	불고기 팩	Bulgogi Pack	プルコギパック
ORG	426	모듬회밥 팩	Rice Bowl Pack	丼物パック
ORG	427	소면 팩	Noodle Pack	麺パック
ORG	428	타코 베이스 팩	Taco Base Pack	タコベースパック
ORG	429	녹인 초코 팩	Melted Chocolate Pack	溶かしたチョコパック
ORG	430	빵 세트	Bread Set	パンセット
ORG	431	고기 팩	Meat Pack	ミートパック
ORG	432	크림 소스	Cream Sauce	クリームソース
ORG	433	치즈	Cheese	チーズ
ORG	434	토마토 소스	Tomato Sauce	トマトソース
ORG	435	명란젓 소스	Spicy Cod Roe Sauce	明太子ソース
ORG	436	명란크림 소스	Spicy Cod Roe Cream Sauce	明太子クリームソース
ORG	437	명란크림 파스타	Mentaiko Pasta	明太子クリームパスタ
ORG	438	스테이크 파스타	Steak Pasta	ステーキスパゲッティ
ORG	439	핫소스	Chili Sauce	チリソース
ORG	440	불닭 소스	Fire Chicken Sauce	プルダックソース
ORG	441	불닭	Fire Chicken	プルダック
ORG	442	버팔로 윙	Buffalo Wings	バッファローウィング
ORG	443	불고기 피자	Bulgogi Pizza	プルコギピザ
ORG	444	피자+불고기	PB+Bulgogi	ピザ＋プルコギ
ORG	445	피자+새우	PB+Shrimp	ピザ＋エビ
ORG	446	새우 피자	Shrimp Pizza	エビピザ
ORG	447	생 고기만두+육수	Raw Meat Dumpling+Soup	生肉餃子＋出汁
ORG	448	샤오롱바오	Xiaolongbao	小籠包
ORG	449	빵+베이컨	B+Ba	バンズ＋ベーコン
ORG	450	빵+패+베	B+P+Ba	バンズ＋パティ＋ベーコン
ORG	451	빵+베+치	B+Ba+C	バンズ＋ベーコン＋チーズ
ORG	452	빵+패+베+치	B+P+Ba+C	バンズ＋パティ＋ベーコン＋チーズ
ORG	453	베이컨치즈버거	Bacon Cheeseburger	ベーコンチーズバーガー
ORG	454	썬 돼지+양념소스	Sliced Pork + Sweet&Spicy Sauce	薄切りポーク＋ヤンニョムソース
ORG	455	제육볶음	Spicy Pork	ジェユクポックム
ORG	456	제육덮밥	Spicy Pork Rice Bowl	ジェユク丼
ORG	457	제육덮밥+계란	Spicy Pork Rice Bowl with Egg	ジェユク丼＋卵
ORG	458	새우+튀김가루	Shrimp+Frying Mix	エビ+天ぷら粉
ORG	459	김	Seaweed	海苔
ORG	460	김+튀김가루	Seaweed+Frying Mix	海苔＋天ぷら粉
ORG	461	튀긴 김	Fried Seaweed	揚げた海苔
ORG	462	튀긴 새우	Fried Shrimp	揚げたエビ
ORG	463	튀긴 새우+김	Fried Shrimp+Seaweed	揚げたエビ＋海苔
ORG	464	튀긴 새우 덮밥	Tempura Rice Bowl	天丼
ORG	465	군함말이초밥	Gunkan Maki Sushi	軍艦巻き
ORG	466	피시앤칩스	Fish and Chips	フィッシュ・アンド・チップス
ORG	467	불닭소스+면	Fire Chicken Sauce+Noodles	プルダックソース＋麺
ORG	468	불닭볶음면	Fire Noodle	プルダックポックンミョン
ORG	469	치킨 부리토(밀)	Chicken Burrito(Flour)	チキンブリトー（小麦）
ORG	470	치킨 부리토(옥수수)	Chicken Burrito(Corn)	チキンブリトー（コーン）
ORG	471	썬 파+반죽	Green Onion Pancake Batter	葱チヂミ生地
ORG	472	썬 김치+반죽	Kimchi Pancake Batter	キムチチヂミ生地
ORG	473	파전	Green Onion Pancake	ネギチヂミ
ORG	474	김치전	Kimchi Pancake	キムチチヂミ
ORG	475	슬라이스 치즈	Sliced Cheese	薄切りチーズ
CAFE	0	탄 음식	Burnt Food	焦げ物
CAFE	1	양산형 칼	Butter Knife	安物のナイフ
CAFE	2	탄소강 칼	Carbon-Steel Knife	炭素鋼ナイフ
CAFE	3	휴대용 칼	Portable Knife	携帯ナイフ
CAFE	4	날카로운 칼	Sharp Knife	鋭いナイフ
CAFE	5	겐지의 단검	Genji's Dagger	ゲンジの脇差
CAFE	6	고급 부엌칼	Kitchen Knife	キッチンナイフ
CAFE	7	헤드셰프의 칼	Head Chef's Knife	ヘッドシェフの包丁
CAFE	8	에너지 드링크	Energy Drink	エナジードリンク
CAFE	9	싼데비슷한 드링크	Sandevistan	怪しいスタンド
CAFE	10	점프 부츠	Jump Boots	ジャンプブーツ
CAFE	11	조미료 팩	Seasoning Packets	調味料パック
CAFE	12	청소기	Vacuum	掃除機
CAFE	13	대시 부츠	Dash Boots	ダッシュブーツ
CAFE	14	텔레포트 스펠	Teleport Spell	テレポートスペル
CAFE	15	요리 복사 스펠	Food Dupe Spell	料理複製スペル
CAFE	16	토치	Gas Torch	ガストーチ
CAFE	17	서빙볼	ServingBall	サービングボール
CAFE	18	$100	$100	$100
CAFE	19	보존식 박스	Food Box	保存食ボックス
CAFE	20	냉각총	Freeze Gun	冷却銃
CAFE	21	원두	Coffee Beans	コーヒー豆
CAFE	22	커피가루	Ground Coffee	コーヒー粉
CAFE	23	에스프레소	Espresso	エスプレッソ
CAFE	24	아메리카노	Americano	アメリカーノ
CAFE	25	아메리카노(아이스)	Iced Americano	アイスアメリカーノ
CAFE	26	우유	Milk	ミルク
CAFE	27	스팀 밀크	Steamed Milk	スチームミルク
CAFE	28	카페 라떼	Latte	カフェラテ
CAFE	29	카페 라떼(아이스)	Iced Latte	アイスカフェラテ
CAFE	30	바닐라 시럽	Vanilla Syrup	バニラシロップ
CAFE	31	바닐라 라떼	Vanilla Latte	バニララテ
CAFE	32	바닐라 라떼(아이스)	Iced Vanilla Latte	アイスバニララテ
CAFE	33	카라멜 시럽	Caramel Syrup	キャラメルシロップ
CAFE	34	카라멜 마키아토	Caramel Macchiato	キャラメルマキアート
CAFE	35	카라멜 마키아토(아이스)	Iced Caramel Macchiato	アイスキャラメルマキアート
CAFE	36	초코 시럽	Chocolate Syrup	チョコシロップ
CAFE	37	카페 모카	Mocha	カフェモカ
CAFE	38	카페 모카(아이스)	Iced Mocha	アイスカフェモカ
CAFE	39	커피 프라페	Coffee Frappe	コーヒーフラッペ
CAFE	40	얼린 우유	Frozen Milk	冷凍ミルク
CAFE	41	빙수 베이스	Shaved Ice Base	かき氷ベース
CAFE	42	단팥	Sweet Red Beans	あんこ
CAFE	43	팥빙수	Red Bean Shaved Ice	パッピンス
CAFE	44	콩가루	Soybean Powder	きな粉
CAFE	45	인절미 빙수	Injeolmi Shaved Ice	インジョルミピンス
CAFE	46	팥절미 빙수	Red Bean Injeolmi Shaved Ice	インジョルミパッピンス
CAFE	47	딸기	Strawberry	イチゴ
CAFE	48	썬 딸기	Sliced Strawberry	薄切りイチゴ
CAFE	49	딸기 빙수	Strawberry Shaved Ice	イチゴかき氷
CAFE	50	초코 빙수	Chocolate Shaved Ice	チョコかき氷
CAFE	51	딸기초코 빙수	Strawberry Chocolate Shaved Ice	イチゴチョコかき氷
CAFE	52	녹차가루	Matcha Powder	抹茶パウダー
CAFE	53	녹차 빙수	Matcha Shaved Ice	抹茶かき氷
CAFE	54	녹차 팥빙수	Matcha Red Bean Shaved Ice	抹茶あんこかき氷
CAFE	55	녹차초코 빙수	Matcha Chocolate Shaved Ice	抹茶チョコかき氷
CAFE	56	초콜릿	Chocolate	チョコ
CAFE	57	초콜릿 칩	Chocolate Chips	チョコチップ
CAFE	58	녹인 초콜릿	Melted Chocolate	溶かしたチョコ
CAFE	59	초코우유	Chocolate Milk	チョコミルク
CAFE	60	민트 시럽	Mint Syrup	ミントシロップ
CAFE	61	민트초코우유	Mint Chocolate Milk	チョコミントミルク
CAFE	62	쿠키 반죽	Cookie Dough	クッキー生地
CAFE	63	쿠키	Cookie	クッキー
CAFE	64	초코칩 쿠키 반죽	Chocolate Chip Cookie Dough	チョコチップクッキー生地
CAFE	65	초코칩 쿠키	Chocolate Chip Cookie	チョコチップクッキー
CAFE	66	초코 쿠키 반죽	Chocolate Cookie Dough	チョコクッキー生地
CAFE	67	초코 쿠키	Chocolate Cookie	チョコクッキー
CAFE	68	아몬드	Almond	アーモンド
CAFE	69	아몬드 슬라이스	Sliced Almonds	薄切りアーモンド
CAFE	70	구운 아몬드	Roasted Almonds	ローストアーモンド
CAFE	71	아몬드 초콜릿	Almond Chocolate	アーモンドチョコ
CAFE	72	통 아몬드 쿠키 반죽	Whole Almond Cookie Dough	丸ごとアーモンドクッキー生地
CAFE	73	통 아몬드 쿠키	Whole Almond Cookie	丸ごとアーモンドクッキー
CAFE	74	아몬드 쿠키 반죽	Almond Cookie Dough	アーモンドクッキー生地
CAFE	75	아몬드 쿠키	Almond Cookie	アーモンドクッキー
CAFE	76	아몬드 초코칩 쿠키 반죽	Almond Choco Chip Cookie Dough	アーモンドチョコチップクッキー生地
CAFE	77	아몬드 초코칩 쿠키	Almond Choco Chip Cookie	アーモンドチョコチップクッキー
CAFE	78	아이스 초코	Iced Chocolate	アイスチョコ
CAFE	79	초코 프라페	Chocolate Frappe	チョコフラッペ
CAFE	80	아이스 민트초코	Iced Mint Chocolate	アイスチョコミント
CAFE	81	민트초코 프라페	Mint Chocolate Frappe	チョコミントフラッペ
CAFE	82	늘린 빵 반죽	Stretched Bread Dough	伸ばしたパン生地
CAFE	83	베이글 반죽	Bagel Dough	ベーグル生地
CAFE	84	베이글	Bagel	ベーグル
CAFE	85	설탕	Sugar	砂糖
CAFE	86	녹인 설탕	Melted Sugar	溶かした砂糖
CAFE	87	호떡 반죽	Hotteok Batter	ホットク生地
CAFE	88	호떡	Hotteok	ホットク
CAFE	89	도넛	Donut	ドーナツ
CAFE	90	설탕 도넛	Sugar Donut	砂糖ドーナツ
CAFE	91	글레이즈 도넛	Glazed Donut	グレーズドドーナツ
CAFE	92	으깬 딸기	Mashed Strawberry	マッシュイチゴ
CAFE	93	딸기+설탕	Strawberry+Sugar	イチゴ＋砂糖
CAFE	94	딸기잼	Strawberry Jam	イチゴジャム
CAFE	95	딸기잼 도넛	Strawberry Jam Donut	イチゴジャムドーナツ
CAFE	96	초코 도넛	Choco Donut	チョコドーナツ
CAFE	97	생크림	Whipped Cream	生クリーム
CAFE	98	생크림 도넛	Whipped Cream Donut	生クリームドーナツ
CAFE	99	딸기크림	Strawberry Cream	イチゴクリーム
CAFE	100	딸기크림 도넛	Strawberry Cream Donut	イチゴクリームドーナツ
CAFE	101	초코크림	Chocolate Cream	チョコクリーム
CAFE	102	초코크림 도넛	Chocolate Cream Donut	チョコクリームドーナツ
CAFE	103	녹차크림	Matcha Cream	抹茶クリーム
CAFE	104	녹차크림 도넛	Matcha Cream Donut	抹茶クリームドーナツ
CAFE	105	찻잎	Tea Leaves	茶葉
CAFE	106	찻잎+물	Matcha+Water	抹茶＋水
CAFE	107	녹차	Matcha	抹茶
CAFE	108	우롱차 잎	Oolong Tea Leaves	ウーロン茶葉
CAFE	109	우롱차 잎+물	Oolong Tea Leaves+Water	ウーロン茶葉＋水
CAFE	110	우롱차	Oolong Tea	ウーロン茶
CAFE	111	비빈 찻잎	Brewed Tea Leaves	抽出済み茶葉
CAFE	112	홍차 잎	Black Tea Leaves	紅茶葉
CAFE	113	홍차 잎+물	Black Tea Leaves+Water	紅茶葉＋水
CAFE	114	홍차	Black Tea	紅茶
CAFE	115	허브	Herbs	ハーブ
CAFE	116	말린 허브	Dried Herbs	乾燥ハーブ
CAFE	117	허브+물	Herbs+Water	ハーブ＋水
CAFE	118	허브티	Herbal Tea	ハーブティー
CAFE	119	아이스티	Iced Tea	アイスティー
CAFE	120	우유+설탕	Milk+Sugar	ミルク＋砂糖
CAFE	121	끓인 물	Boiled Water	お湯
CAFE	122	흑당 펄	Brown Sugar Pearls	黒糖タピオカ
CAFE	123	밀크티	Milk Tea	ミルクティー
CAFE	124	녹차 밀크티	Matcha Milk Tea	抹茶ミルクティー
CAFE	125	우롱 밀크티	Oolong Milk Tea	ウーロンミルクティー
CAFE	126	허브 밀크티	Herbal Milk Tea	ハーブミルクティー
CAFE	127	타피오카 펄	Tapioca Pearls	タピオカ
CAFE	128	삶은 펄	Cooked Tapioca Pearls	ゆでタピオカ
CAFE	129	버블티	Bubble Tea	タピオカティー
CAFE	130	녹차 버블티	Matcha Bubble Tea	抹茶タピオカティー
CAFE	131	우롱 버블티	Oolong Bubble Tea	ウーロンタピオカティー
CAFE	132	허브 버블티	Herbal Bubble Tea	ハーブタピオカティー
CAFE	133	설탕물	Sugar Water	砂糖水
CAFE	134	설탕 시럽	Sugar Syrup	砂糖シロップ
CAFE	135	흑당 밀크티	Brown Sugar Milk Tea	黒糖ミルクティー
CAFE	136	흑당 버블티	Brown Sugar Bubble Tea	黒糖タピオカティー
CAFE	137	아몬드 가루	Almond Flour	アーモンドパウダー
CAFE	138	달걀	Egg	卵
CAFE	139	깐 달걀	Peeled Egg	殻剥き卵
CAFE	140	흰자	Egg White	卵白
CAFE	141	노른자	Egg Yolk	卵黄
CAFE	142	섞인 달걀	Mixed Egg	溶き卵
CAFE	143	버터	Butter	バター
CAFE	144	으깬 버터	Mashed Butter	潰したバター
CAFE	145	커스터드 크림	Custard Cream	カスタードクリーム
CAFE	146	푸딩	Pudding	プリン
CAFE	147	크림 브륄레	Crème Brûlée	クレームブリュレ
CAFE	148	버터 필링	Butter Filling	バターフィリング
CAFE	149	녹차 필링	Matcha Filling	抹茶フィリング
CAFE	150	홍차가루	Black Tea Powder	紅茶パウダー
CAFE	151	얼그레이 필링	Earl Grey Filling	アールグレイフィリング
CAFE	152	흰자+설탕	Egg White+Sugar	卵白＋砂糖
CAFE	153	머랭	Meringue	メレンゲ
CAFE	154	머랭 쿠키	Meringue Cookie	メレンゲクッキー
CAFE	155	마카롱 반죽	Macaron Batter	マカロン生地
CAFE	156	마카롱 꼬끄	Macaron Shells	マカロンコック
CAFE	157	마카롱	Macaron	マカロン
CAFE	158	녹차 마카롱	Matcha Macaron	抹茶マカロン
CAFE	159	얼그레이 마카롱	Earl Grey Macaron	アールグレイマカロン
CAFE	160	수플레 반죽	Soufflé Batter	スフレ生地
CAFE	161	수플레 팬케이크	Soufflé Pancake	スフレパンケーキ
CAFE	162	크림화 버터	Creamed Butter	クリーム状バター
CAFE	163	버터+노른자	Butter+Egg Yolk	バター＋卵黄
CAFE	164	계란 쿠키 반죽	Egg Cookie Dough	卵クッキー生地
CAFE	165	계란 쿠키	Egg Cookie	卵クッキー
CAFE	166	얼린 딸기	Frozen Strawberry	冷凍イチゴ
CAFE	167	딸기 주스	Strawberry Juice	イチゴジュース
CAFE	168	블루베리	Blueberry	ブルーベリー
CAFE	169	얼린 블루베리	Frozen Blueberry	冷凍ブルーベリー
CAFE	170	블루베리 주스	Blueberry Juice	ブルーベリージュース
CAFE	171	망고	Mango	マンゴー
CAFE	172	썬 망고	Sliced Mango	薄切りマンゴー
CAFE	173	얼린 망고	Frozen Mango	冷凍マンゴー
CAFE	174	망고 주스	Mango Juice	マンゴージュース
CAFE	175	바나나	Banana	バナナ
CAFE	176	깐 바나나	Peeled Banana	むきバナナ
CAFE	177	얼린 바나나	Frozen Banana	冷凍バナナ
CAFE	178	요거트 가루	Yogurt Powder	ヨーグルトパウダー
CAFE	179	요거트+우유	Yogurt+Milk	ヨーグルト＋ミルク
CAFE	180	딸기+우유	Strawberry+Milk	イチゴ＋ミルク
CAFE	181	딸기 스무디	Strawberry Smoothie	イチゴスムージー
CAFE	182	블루베리+우유	Blueberry+Milk	ブルーベリー＋ミルク
CAFE	183	블루베리 스무디	Blueberry Smoothie	ブルーベリースムージー
CAFE	184	망고+우유	Mango+Milk	マンゴー＋ミルク
CAFE	185	망고 스무디	Mango Smoothie	マンゴースムージー
CAFE	186	바나나+우유	Banana+Milk	バナナ＋ミルク
CAFE	187	딸기+바나나+우유	Strawberry+Banana+Milk	イチゴ＋バナナ＋ミルク
CAFE	188	딸기바나나 스무디	Strawberry Banana Smoothie	イチゴバナナスムージー
CAFE	189	망고+바나나+우유	Mango+Banana+Milk	マンゴー＋バナナ＋ミルク
CAFE	190	망고바나나 스무디	Mango Banana Smoothie	マンゴーバナナスムージー
CAFE	191	딸기+블루베리+우유	Strawberry+Blueberry+Milk	イチゴ＋ブルーベリー＋ミルク
CAFE	192	베리베리 스무디	Mixed Berry Smoothie	ミックスベリースムージー
CAFE	193	딸기+요거트	Strawberry+Yogurt	イチゴ＋ヨーグルト
CAFE	194	딸기 요거트 스무디	Strawberry Yogurt Smoothie	イチゴヨーグルトスムージー
CAFE	195	블루베리+요거트	Blueberry+Yogurt	ブルーベリー＋ヨーグルト
CAFE	196	블루베리 요거트 스무디	Blueberry Yogurt Smoothie	ブルーベリーヨーグルトスムージー
CAFE	197	망고+요거트	Mango+Yogurt	マンゴー＋ヨーグルト
CAFE	198	망고 요거트 스무디	Mango Yogurt Smoothie	マンゴーヨーグルトスムージー
CAFE	199	딸기+바나나+요거트	Strawberry+Banana+Yogurt	イチゴ＋バナナ＋ヨーグルト
CAFE	200	딸기바나나 요거트 스무디	Strawberry Banana Yogurt Smoothie	イチゴバナナヨーグルトスムージー
CAFE	201	망고+바나나+요거트	Mango+Banana+Yogurt	マンゴー＋バナナ＋ヨーグルト
CAFE	202	망고바나나 요거트 스무디	Mango Banana Yogurt Smoothie	マンゴーバナナヨーグルトスムージー
CAFE	203	딸기+블루베리+요거트	Strawberry+Blueberry+Yogurt	イチゴ＋ブルーベリー＋ヨーグルト
CAFE	204	베리베리 요거트 스무디	Mixed Berry Yogurt Smoothie	ミックスベリーヨーグルトスムージー
CAFE	205	요거트 아이스크림	Yogurt Ice Cream	ヨーグルトアイス
CAFE	206	딸기 요거트 아이스크림	Strawberry Yogurt Ice Cream	イチゴヨーグルトアイス
CAFE	207	블루베리 요거트 아이스크림	Blueberry Yogurt Ice Cream	ブルーベリーヨーグルトアイス
CAFE	208	망고 요거트 아이스크림	Mango Yogurt Ice Cream	マンゴーヨーグルトアイス
CAFE	209	바나나+요거트	Banana+Yogurt	バナナ＋ヨーグルト
CAFE	210	바나나 요거트 아이스크림	Banana Yogurt Ice Cream	バナナヨーグルトアイス
CAFE	211	빵 반죽	Bread Dough	パン生地
CAFE	212	토마토	Tomato	トマト
CAFE	213	썬 토마토	Sliced Tomato	薄切りトマト
CAFE	214	으깬 토마토	Mashed Tomato	潰したトマト
CAFE	215	토마토 소스	Tomato Sauce	トマトソース
CAFE	216	치즈	Cheese	チーズ
CAFE	217	슬라이스 치즈	Sliced Cheese	薄切りチーズ
CAFE	218	머핀	Muffin	マフィン
CAFE	219	계란빵	Egg Bread	卵パン
CAFE	220	치즈+반죽	Cheese+Dough	チーズ＋生地
CAFE	221	치즈빵	Cheese Bread	チーズパン
CAFE	222	치즈 붕어빵	Cheese Pancake	チーズプンオパン
CAFE	223	토마토+반죽	Tomato+Dough	トマト＋生地
CAFE	224	토마토+치즈+반죽	Tomato+Cheese+Dough	トマト＋チーズ＋生地
CAFE	225	피자빵	Pizza Bread	ピザパン
CAFE	226	피자 붕어빵	Pizza Pancake	ピザプンオパン
CAFE	227	단팥+반죽	Sweet Red Bean+Dough	あんこ＋生地
CAFE	228	단팥빵	Sweet Red Bean Bread	あんパン
CAFE	229	붕어빵	Sweet Bean Pancake	プンオパン
CAFE	230	커스터드 크림+반죽	Custard Cream+Dough	カスタードクリーム＋生地
CAFE	231	슈크림빵	Cream Bread	クリームパン
CAFE	232	슈크림 붕어빵	Custard Pancake	カスタードプンオパン
CAFE	233	초코칩+반죽	Chocolate Chips+Dough	チョコチップ＋生地
CAFE	234	초코칩 빵	Choco Chip Bread	チョコチップパン
CAFE	235	초코 붕어빵	Chocolate Pancake	チョコプンオパン
CAFE	236	초코 반죽	Chocolate Batter	チョコ生地
CAFE	237	초코빵	Chocolate Bread	チョコパン
CAFE	238	연유	Condensed Milk	練乳
CAFE	239	연유 라떼	Condensed Milk Latte	練乳ラテ
CAFE	240	연유 라떼(아이스)	Iced Condensed Milk Latte	アイス練乳ラテ
CAFE	241	연유 팥빙수	Condensed Milk Red Bean Shaved Ice	練乳あんこかき氷
CAFE	242	앙버터	Red Bean Butter Bun	あんバターパン
CAFE	243	앙버터+반죽	Red Bean Butter Dough	あんバター生地
CAFE	244	앙버터 붕어빵	Red Bean Butter Pancake	あんバタープンオパン
CAFE	245	바닐라크림	Vanilla Cream	バニラクリーム
CAFE	246	오 레	Chocolate Cookie+Vanilla Cream	オ・レ
CAFE	247	오레오	Oreo	オレオ
CAFE	248	시나몬 가루	Cinnamon Powder	シナモンパウダー
CAFE	249	시나몬 쿠키 반죽	Cinnamon Cookie Dough	シナモンクッキー生地
CAFE	250	시나몬 쿠키	Cinnamon Cookie	シナモンクッキー
CAFE	251	망고 빙수	Mango Shaved Ice	マンゴーかき氷
CAFE	252	슈크림 도넛	Cream Donut	クリームドーナツ
CAFE	253	타로 가루	Taro Powder	タロイモパウダー
CAFE	254	타로 밀크티	Taro Milk Tea	タロイモミルクティー
CAFE	255	타로 버블티	Taro Bubble Tea	タロイモタピオカティー
CAFE	256	초콜릿 밀크티	Chocolate Milk Tea	チョコミルクティー
CAFE	257	초콜릿 버블티	Chocolate Bubble Tea	チョコタピオカティー
CAFE	258	블루베리+설탕	Blueberry+Sugar	ブルーベリー＋砂糖
CAFE	259	블루베리잼	Blueberry Jam	ブルーベリージャム
CAFE	260	블루베리 필링	Blueberry Filling	ブルーベリーフィリング
CAFE	261	블루베리 마카롱	Blueberry Macaron	ブルーベリーマカロン
CAFE	262	딸기 필링	Strawberry Filling	イチゴフィリング
CAFE	263	딸기 마카롱	Strawberry Macaron	イチゴマカロン
CAFE	264	크림치즈	Cream Cheese	クリームチーズ
CAFE	265	크림치즈 필링	Cream Cheese Filling	クリームチーズフィリング
CAFE	266	크림치즈 마카롱	Cream Cheese Macaron	クリームチーズマカロン
CAFE	267	카라멜 푸딩	Caramel Pudding	キャラメルプリン
CAFE	268	멜론	Melon	メロン
CAFE	269	썬 멜론	Sliced Melon	薄切りメロン
CAFE	270	멜론 빙수	Melon Shaved Ice	メロンかき氷
CAFE	271	커피 큐브	Coffee Cubes	コーヒーキューブ
CAFE	272	큐브 라떼	Coffee Cube Latte	コーヒーキューブラテ
CAFE	273	아이스티(샷 추가)	Iced Tea (Extra Shot)	アイスティー（ショット追加）
CAFE	274	마시멜로	Marshmallow	マシュマロ
CAFE	275	마시멜로+초코 쿠키 반죽	Marshmallow+Choco Cookie Dough	マシュマロ＋チョコクッキー生地
CAFE	276	마시멜로 초코 쿠키	Marshmallow Choco Cookie	マシュマロチョコクッキー
CAFE	277	마시멜로+쿠키 반죽	Marshmallow+Cookie Dough	マシュマロ＋クッキー生地
CAFE	278	마시멜로 쿠키	Marshmallow Cookie	マシュマロクッキー
CAFE	279	블루베리잼 도넛	Blueberry Jam Donut	ブルーベリージャムドーナツ
CAFE	280	요거트크림	Yogurt Cream	ヨーグルトクリーム
CAFE	281	요거트크림 도넛	Yogurt Cream Donut	ヨーグルトクリームドーナツ
CAFE	282	찹쌀가루	Glutinous Rice Flour	もち米粉
CAFE	283	찹쌀 반죽	Glutinous Rice Dough	もち米生地
CAFE	284	찹쌀 도너츠	Glutinous Rice Donut	もち米ドーナツ
CAFE	285	초코 요거트 아이스크림	Chocolate Yogurt Ice Cream	チョコヨーグルトアイス
CAFE	286	얼린 멜론	Frozen Melon	冷凍メロン
CAFE	287	멜론+우유	Melon+Milk	メロン＋ミルク
CAFE	288	멜론 스무디	Melon Smoothie	メロンスムージー
CAFE	289	멜론+요거트+우유	Melon+Yogurt+Milk	メロン＋ヨーグルト＋ミルク
CAFE	290	멜론 요거트 스무디	Melon Yogurt Smoothie	メロンヨーグルトスムージー
CAFE	291	얼린 포도	Frozen Grapes	冷凍ブドウ
CAFE	292	팥+인절미+반죽	Red Bean+Injeolmi+Dough	あんこ＋インジョルミ＋生地
CAFE	293	팥절미 붕어빵	Injeolmi Red Bean Pancake	インジョルミあんこプンオパン
CAFE	294	튀긴 빵	Fried Bread	揚げパン
CAFE	295	꽈배기	Twisted Donut	ねじりドーナツ
CAFE	296	크림치즈 도넛	Cream Cheese Donut	クリームチーズドーナツ
CAFE	297	크림치즈 베이글	Cream Cheese Bagel	クリームチーズベーグル
CAFE	298	호두	Walnut	クルミ
CAFE	299	호두+단팥+반죽	Walnut+Red Bean+Dough	クルミ＋あんこ＋生地
CAFE	300	호두과자	Walnut Cake	クルミ菓子
CAFE	301	찻잎+우유+설탕	Matcha+Milk+Sugar	抹茶＋ミルク＋砂糖
CAFE	302	우롱차 잎+우유+설탕	Oolong Tea Leaves+Milk+Sugar	ウーロン茶葉＋ミルク＋砂糖
CAFE	303	홍차 잎+우유+설탕	Black Tea Leaves+Milk+Sugar	紅茶葉＋ミルク＋砂糖
CAFE	304	말린 허브+우유+설탕	Dried Herbs+Milk+Sugar	乾燥ハーブ＋ミルク＋砂糖
CAFE	305	시나몬 설탕	Cinnamon Sugar	シナモン砂糖
CAFE	306	츄러스	Churros	チュロス
CAFE	307	치즈+찹쌀 반죽	Cheese+Glutinous Rice Dough	チーズ＋もち米生地
CAFE	308	치즈볼	Cheese Ball	チーズボール
CAFE	309	베이컨	Bacon	ベーコン
CAFE	310	계란 후라이	Fried Egg	目玉焼き
CAFE	311	스크램블 에그	Scrambled Eggs	スクランブルエッグ
CAFE	312	오믈렛	Omelette	オムレツ
CAFE	313	구운 베이컨	Grilled Bacon	焼いたベーコン
CAFE	314	베이컨 계란 정식	Bacon & Eggs	ベーコンエッグ
CAFE	315	삶은 달걀	Boiled Egg	ゆで卵
CAFE	316	딸기잼 베이글	Strawberry Jam Bagel	イチゴジャムベーグル
CAFE	317	딸기잼 머핀	Strawberry Jam Muffin	イチゴジャムマフィン
CAFE	318	머핀+베이컨	Muffin+Bacon	マフィン＋ベーコン
CAFE	319	머핀+계란	Muffin+Egg	マフィン＋卵
CAFE	320	머핀+치즈	Muffin+Cheese	マフィン＋チーズ
CAFE	321	머핀+베이컨+계란	Muffin+Bacon+Egg	マフィン＋ベーコン＋卵
CAFE	322	머핀+베이컨+치즈	Muffin+Bacon+Cheese	マフィン＋ベーコン＋チーズ
CAFE	323	머핀+계란+치즈	Muffin+Egg+Cheese	マフィン＋卵＋チーズ
CAFE	324	머핀+베이컨+계란+치즈	Muffin+Bacon+Egg+Cheese	マフィン＋ベーコン＋卵＋チーズ
CAFE	325	베이컨 에그 머핀	Bacon Egg Muffin	ベーコンエッグマフィン
CAFE	326	에그 머핀	Egg Muffin	エッグマフィン
CAFE	327	베이컨 머핀	Bacon Muffin	ベーコンマフィン
CAFE	328	스크램블 에그+치즈	Scrambled Eggs+Cheese	スクランブルエッグ＋チーズ
CAFE	329	치즈 오믈렛	Cheese Omelette	チーズオムレツ
