rule	ordinal	source	kr	en	placeholders
Global subroutine: Set Hint Text	4	manual-global	썬 감자를 튀김기에 올리면 감자튀김이 되는 식입니다.\r\n어떤 느낌인지 감이 오셨나요?	Then put Sliced Potato in the Fryer to make French Fries.\r\nSee how the same Potato changes?	
Global subroutine: Set Hint Text	5	manual-global+output-override	어떤 재료는 강하게 내려치면 변하기도 합니다.\r\n감자를 솥에 쪄서 찐 감자를 관성을 이용해 바닥에 던져보세요.	Smashing can transform some ingredients.\r\nSteam a Potato, then slam the Steamed Potato onto the ground using momentum	
Global subroutine: Set Hint Text	6	manual-global+output-override	또한 일부 재료는 합칠 수 있습니다.\r\n삶은 파스타와 크림 소스를 맞대어 합쳐보세요.	Some ingredients can be combined.\r\nCombine Boiled Pasta with Cream Sauce	
Global subroutine: Set Hint Text	7	manual-global+output-override	토마토는 썰어서 솥에 찌면 토마토 소스를 만들 수 있지만..\r\n써는 대신 내려치면 더 빠르게 뭉갠 토마토로 만들 수 있습니다.	Slice a Tomato and steam it in the Pot to make Tomato Sauce.\r\nSmash a Tomato to make Mashed Tomato faster	
Global subroutine: Set Hint Text	8	manual-global+output-override	손님에 따라 다른 특성들도 있습니다.\r\n대식가의 경우에는 점수를 더 많이 주지만 음식을 2번 서빙해야 합니다.	Customers have different traits.\r\nA Big Fat Customer gives more points but must be served twice	
Global subroutine: Set Hint Text	9	manual-global	다양한 레시피들의 조합법을 마스터하고 클리어에 도전하세요.\r\n행운을 빕니다!	Master the recipe combinations and clear the mode.\r\nGood luck!	
Global subroutine: Set Hint Text	10	manual-global	썬 닭고기 + 튀김가루 > 튀김기	Sliced Chicken + Frying Mix > Fryer	
Global subroutine: Set Hint Text	11	manual-global	닭고기 + 튀김가루 > 튀김기	Chicken + Frying Mix > Fryer	
Global subroutine: Set Hint Text	12	manual-global	조각낸 닭고기 + 튀김가루 > 튀김기	Chopped Chicken + Frying Mix > Fryer	
Global subroutine: Set Hint Text	13	manual-global	모든 양념은 후라이드 치킨에 추가할 수 있습니다.\r\n간장 + 물엿	Any sauce can be added to Fried Chicken.\r\nSoy Sauce + Corn Syrup	
Global subroutine: Set Hint Text	14	manual-global	고추장 + 물엿	Red Pepper Paste + Corn Syrup	
Global subroutine: Set Hint Text	15	manual-global	고추장 + 간장 + 물엿	Red Pepper Paste + Soy Sauce + Corn Syrup	
Global subroutine: Set Hint Text	16	manual-global	썬 파 + 간장 소스	Sliced Green Onion + Sweet Soy Sauce	
Global subroutine: Set Hint Text	17	manual-global	튀긴 조각 닭 + 양념 소스 > 팬에 볶기	Chicken Nugget + Sweet&Spicy Sauce > Pan Fry	
Global subroutine: Set Hint Text	18	manual-global	밀가루를 피자 도우가 될 때 까지 내려치세요.\r\n피자 도우 + 토마토 소스 + 피자 치즈 > 그릴에 굽기	Smash Flour until it becomes Flour Pizza Dough.\r\nFlour Pizza Dough + Tomato Sauce + Shredded Mozzarella > Grill	
Global subroutine: Set Hint Text	19	manual-global	모든 레시피를 확인할 수 있는 사이트를 참고하실 수 있습니다.\r\nhttps://ow-restaurant.com/ko	View all recipes on this website.\r\nhttps://ow-restaurant.com/en	
Global subroutine: Set Hint Text	21	manual-global+output-override	조심하세요! 자신보다 늦게 온 손님을 먼저 서빙하면 실패하는 손님 유형이 있습니다.	Some customers leave if you serve a later arrival first	
Global subroutine: Set Hint Text	22	manual-global+output-override	이런 손님들은 주문서 순서대로 서빙하는걸 추천합니다.	Serve them in the order shown on the order slips	
Global subroutine: Set Hint Text	23	manual-global+output-override	음식 평론가에게 좋은 평가를 받으면 많은 손님을 불러옵니다.	A positive review from the Food Critic attracts more customers	
Global subroutine: Set Hint Text	24	manual-global+output-override	푸드 파이터는 3개의 음식을 서빙해야 합니다.	A Competitive Eater must be served three dishes	
Global subroutine: Set Hint Text	26	manual-global+output-override	예약 손님은 입장 전에 미리 주문을 합니다.\r\n가운데 잠깐 표시되는 예약 메시지를 주의 깊게 보고 기억하세요!	A Reserved Customer orders before entering.\r\nRemember the reservation message briefly shown at the center of the screen	
Global subroutine: Set Hint Text	27	manual-global+output-override	밀가루 반죽 을 자르고 다시 내려쳐 만두피를 만들 수 있습니다.	Cut Flour Dough, then smash it again to make Dumpling Wrapper	
Global subroutine: Set Hint Text	28	manual-global	다진 파 + 으깬 두부 + 만두피 > 솥에 찌기	Minced Green Onion + Mashed Tofu + Dumpling Wrapper > Steam in Pot	
Global subroutine: Set Hint Text	29	manual-global	다진 파 + 으깬 두부 + 만두피 > 팬에 굽기	Minced Green Onion + Mashed Tofu + Dumpling Wrapper > Pan Fry	
Global subroutine: Set Hint Text	30	manual-global	다진 파 + 으깬 두부 + 썬 당면 + 다진 돼지고기 + 만두피 > 솥에 찌기	Minced Green Onion + Mashed Tofu + Sliced Glass Noodles + Minced Pork + Dumpling Wrapper > Steam in Pot	
Global subroutine: Set Hint Text	31	manual-global	다진 파 + 다진 김치 + 썬 당면 + 다진 돼지고기 + 만두피 > 솥에 찌기	Minced Green Onion + Minced Kimchi + Sliced Glass Noodles + Minced Pork + Dumpling Wrapper > Steam in Pot	
Global subroutine: Set Hint Text	32	manual-global	다진 소고기를 내려쳐 패티를 만들고 구워주세요.\r\n아래 빵 + 익힌 패티 + 윗 빵	Smash Minced Beef to make Raw Patty, then grill it.\r\nBottom Bun + Cooked Patty + Top Bun	
Global subroutine: Set Hint Text	33	manual-global	아래 빵 + 익힌 패티 + 슬라이스 치즈 + 윗 빵	Bottom Bun + Cooked Patty + Sliced Cheese + Top Bun	
Global subroutine: Set Hint Text	34	manual-global	아래 빵 + 썬 양상추 + 썬 토마토 + 윗 빵	Bottom Bun + Sliced Lettuce + Sliced Tomato + Top Bun	
Global subroutine: Set Hint Text	35	manual-global	아래 빵 + 썬 토마토 + 썬 양상추 + 슬라이스 치즈 + 윗 빵	Bottom Bun + Sliced Tomato + Sliced Lettuce + Sliced Cheese + Top Bun	
Global subroutine: Set Hint Text	36	manual-global	아래 빵 + 익힌 패티 + 썬 양상추 + 썬 토마토 + 윗 빵	Bottom Bun + Cooked Patty + Sliced Lettuce + Sliced Tomato + Top Bun	
Global subroutine: Set Hint Text	37	manual-global	아래 빵 + 익힌 패티 + 슬라이스 치즈 + 썬 양상추 + 썬 토마토 + 윗 빵	Bottom Bun + Cooked Patty + Sliced Cheese + Sliced Lettuce + Sliced Tomato + Top Bun	
Global subroutine: Set Hint Text	39	manual-global+output-override	https://ow-restaurant.com/ko 에서\r\n이 테마의 레시피를 확인하실 수 있습니다.	View this theme's recipes at\r\nhttps://ow-restaurant.com/en	
Global subroutine: Scoreboard	0	manual-global	최종 점수 : 〔{0}〕	Final Score: [{0}]	{0}
Global subroutine: Scoreboard	1	source-phrase	최고 기록 갱신!! 이 화면을 캡처하여 https://ow-restaurant.com 로 보내주세요	New Record!! Capture this screen and submit to https://ow-restaurant.com/en	
Global subroutine: Scoreboard	2	source-phrase	최고 기록 : 〔{0}〕	High Score: [{0}]	{0}
Global subroutine: Scoreboard	4	source-phrase	{0} 〔{2}〕\r\n  {1}	{0} [{2}]\r\n  {1}	{0} {2} {1}
Global subroutine: Scoreboard	5	manual-global	시간 : 〔{0}〕\r\n모드: 〔{1}〕\r\n결과: 〔{2}〕	Time: [{0}]\r\nMode: [{1}]\r\nResult: [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	6	manual-global	{0}시간{1}분{2}초	{0}h{1}m{2}s	{0} {1} {2}
Global subroutine: Scoreboard	8	manual-context	연습 모드	Practice	
Global subroutine: Scoreboard	9	source-phrase	캐주얼 다이닝	Casual Dining	
Global subroutine: Scoreboard	10	source-phrase	파인 다이닝	Fine Dining	
Global subroutine: Scoreboard	11	manual-global	스타 비스트로	Buzzy Restaurant	
Global subroutine: Scoreboard	12	manual-global	마스터쿡 챌린지	MasterChef Challenge	
Global subroutine: Scoreboard	13	manual-global	헤드셰프 챌린지	HeadChef Challenge	
Global subroutine: Scoreboard	15	manual-global	수습 난이도	Apprentice	
Global subroutine: Scoreboard	16	manual-global	숙련 난이도	Journeyman	
Global subroutine: Scoreboard	17	manual-global	전문 난이도	Professional	
Global subroutine: Scoreboard	19	manual-global	클리어!	Complete!	
Global subroutine: Scoreboard	20	manual-global+output-override	Stage {0} 에서 실패	Stage {0}	{0}
Global subroutine: Scoreboard	21	source-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕	Total Personal Income: [{0}]\r\nContribution Score: [{1}]	{0} {1}
Global subroutine: Scoreboard	22	manual-global	성공한 영업 : 〔{0}〕	Success: [{0}]	{0}
Global subroutine: Scoreboard	23	source-phrase	요리에 기여함 : 〔{0}〕\r\n칼질한 횟수 : 〔{1}〕	Cooking Mastery: [{0}]\r\nChopped: [{1}]	{0} {1}
Global subroutine: Scoreboard	24	manual-global	환상적인 영업 : 〔{0}〕\r\n성공적인 영업 : 〔{1}〕\r\n실패한 영업 : 〔{2}〕	A-mei-zing Service: [{0}]\r\nSuccessful Service: [{1}]\r\nFailed Service: [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	25	manual-global	서빙 성공 : 〔{0}〕	Serving Success: [{0}]	{0}
Global subroutine: Scoreboard	26	manual-global	전체 서빙 성공 : 〔{0}〕\r\n전체 서빙 실패 : 〔{1}〕	Total Serving Success: [{0}]\r\nTotal Serving Failure: [{1}]	{0} {1}
Global subroutine: Scoreboard	27	manual-global	서빙 실수 : 〔{0}〕	Serving Mistake: [{0}]	{0}
Global subroutine: Scoreboard	28	source-phrase	환상적인 서빙 : 〔{0}〕\r\n신속한 서빙 : 〔{1}〕\r\n완성도 있는 요리 : 〔{2}〕	A-mei-zing Served: [{0}]\r\nSwift Served: [{1}]\r\nWell-Prepared Dish: [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	29	manual-global	평가 : 〔★★★★★★★〕	Rank: [SSS]	
Global subroutine: Scoreboard	30	manual-global	평가 : 〔★★★★★★〕	Rank: [S++]	
Global subroutine: Scoreboard	31	manual-global	평가 : 〔★★★★★〕	Rank: [S+]	
Global subroutine: Scoreboard	32	manual-global	평가 : 〔★★★★☆〕	Rank: [S]	
Global subroutine: Scoreboard	33	manual-global	평가 : 〔★★★☆☆〕	Rank: [A]	
Global subroutine: Scoreboard	34	manual-global	평가 : 〔★★☆☆☆〕	Rank: [B]	
Global subroutine: Scoreboard	35	manual-global	평가 : 〔★☆☆☆☆〕	Rank: [C]	
Global subroutine: Scoreboard	36	manual-global	평가 : 〔☆☆☆☆☆〕	Rank: [F]	
Global subroutine: Scoreboard	39	source-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	40	source-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	{0} {1}
Global subroutine: Scoreboard	43	source-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	44	source-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	{0} {1}
Global subroutine: Scoreboard	47	source-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	48	source-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	{0} {1}
Global subroutine: Scoreboard	51	source-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	52	source-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	{0} {1}
Global subroutine: Scoreboard	55	source-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	56	source-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	{0} {1}
Global subroutine: Scoreboard	59	source-phrase	개인 총 수입 : 〔{0}〕\r\n개인 활약 점수 : 〔{1}〕\r\n요리에 기여함 : 〔{2}〕	Total Personal Income : [{0}]\r\nContribution Score : [{1}]\r\nCooking Mastery : [{2}]	{0} {1} {2}
Global subroutine: Scoreboard	60	source-phrase	서빙 성공 : 〔{0}〕\r\n서빙 실수 : 〔{1}〕	Serving Success : [{0}]\r\nServing Mistake : [{1}]	{0} {1}
Global subroutine: Other Menu	0	manual-global	로드 중...	Loading...	
Global subroutine: Other Menu	1	manual-global	데이터 초기화 중...	Initializing data...	
Global subroutine: Other Menu	4	manual-context	연습 모드	Practice Mode	
Global subroutine: Other Menu	5	manual-global	{0} 의 워크샵 코드는 {1} 입니다! 	{0} Workshop code is {1}! 	{0} {1}
Global subroutine: Other Menu	6	manual-global	Joseon-뉴 3호점	Joseon-K-Food(KR)	
Global subroutine: Other Menu	7	manual-global	Gummybear-오리지널	Gummybear-Original(KR)	
